TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,DAY_TYPE,MISSING_DATA,POLYLINE
1385853406620000529,A,46649.0,,20000529,1385853406,A,False,"[[-8.649117,41.150142],[-8.649117,41.150124],[-8.649189,41.149701],[-8.649135,41.148873],[-8.648577,41.148234],[-8.647938,41.148279],[-8.647632,41.148351],[-8.646453,41.148432],[-8.644275,41.148198],[-8.64207,41.148099],[-8.639802,41.148468],[-8.63883,41.148405],[-8.637426,41.148324],[-8.635194,41.14791],[-8.633124,41.147064],[-8.631459,41.146218],[-8.630253,41.146443],[-8.629065,41.145642],[-8.627184,41.145336],[-8.624529,41.145606],[-8.621271,41.145921],[-8.618778,41.146263],[-8.617635,41.146236],[-8.617644,41.145912],[-8.617545,41.145561],[-8.617527,41.145408],[-8.617464,41.145075],[-8.617374,41.144958],[-8.616762,41.144904],[-8.615475,41.145597],[-8.615403,41.145687],[-8.615403,41.145696]]"
1376213777620000621,A,11761.0,,20000621,1376213777,A,False,"[[-8.602767,41.155146],[-8.602731,41.155101],[-8.602668,41.155083],[-8.602848,41.154732],[-8.604225,41.154669],[-8.604594,41.154678],[-8.604945,41.153535],[-8.607015,41.15349],[-8.60769,41.153589],[-8.607987,41.15358],[-8.609859,41.153553],[-8.61192,41.153625],[-8.612055,41.154966],[-8.613504,41.155272],[-8.615754,41.155713],[-8.61777,41.155965],[-8.617842,41.155965],[-8.618787,41.15538],[-8.618778,41.155218],[-8.618769,41.155209],[-8.618886,41.155056],[-8.618454,41.153535],[-8.61795,41.15205],[-8.617662,41.151438],[-8.617536,41.150997],[-8.617167,41.15061],[-8.617131,41.150547],[-8.617131,41.15052],[-8.617104,41.150538]]"
1372992934620000545,C,,,20000545,1372992934,A,False,"[[-8.610408,41.153706],[-8.611821,41.15367],[-8.61201,41.154498],[-8.612046,41.15646],[-8.612667,41.157234],[-8.612028,41.159178],[-8.611497,41.161329],[-8.611407,41.161599],[-8.611146,41.162805],[-8.611029,41.164677],[-8.611857,41.166324],[-8.613918,41.166747],[-8.614521,41.166414],[-8.613414,41.16609],[-8.613432,41.16573],[-8.613468,41.165703],[-8.613549,41.16546],[-8.613972,41.164011],[-8.614242,41.163138],[-8.61435,41.162346],[-8.612073,41.161824],[-8.609067,41.161356],[-8.605683,41.160672],[-8.602299,41.159754],[-8.601264,41.159493],[-8.601318,41.159475],[-8.599248,41.158935],[-8.598618,41.158008],[-8.597007,41.157063],[-8.595468,41.155785],[-8.595306,41.155587],[-8.595297,41.155587],[-8.595279,41.15556],[-8.59446,41.156406],[-8.594424,41.156568],[-8.594487,41.156658],[-8.595234,41.157126],[-8.595252,41.157162],[-8.595243,41.157162],[-8.595216,41.157162],[-8.595207,41.157162],[-8.595207,41.157162],[-8.595207,41.157144],[-8.595207,41.157144]]"
1395413102620000242,A,19004.0,,20000242,1395413102,A,False,"[[-8.617068,41.171499],[-8.617581,41.171175],[-8.617959,41.171544],[-8.617995,41.171733],[-8.619228,41.171499],[-8.620416,41.170734],[-8.621595,41.169933],[-8.622333,41.169393],[-8.624286,41.168916],[-8.625465,41.168934],[-8.625618,41.16942],[-8.625708,41.16978],[-8.625924,41.170626],[-8.62632,41.172363],[-8.627292,41.174361],[-8.627742,41.175774],[-8.628453,41.176989],[-8.629119,41.178384],[-8.629254,41.178708],[-8.629371,41.178942],[-8.629668,41.179653],[-8.630082,41.180598],[-8.630577,41.181705],[-8.631126,41.183019],[-8.631459,41.1831]]"
1374335711620000626,B,,15.0,20000626,1374335711,A,False,"[[-8.585559,41.148603],[-8.585676,41.14872],[-8.586009,41.14899],[-8.586027,41.148981],[-8.586063,41.148981],[-8.586243,41.14899],[-8.58735,41.14917],[-8.588979,41.149602],[-8.591211,41.150214],[-8.593344,41.150772],[-8.593506,41.150826],[-8.593488,41.150826],[-8.593488,41.150817],[-8.593497,41.150826],[-8.594424,41.150727],[-8.596161,41.149737],[-8.597403,41.148882],[-8.597781,41.148738],[-8.598348,41.148387],[-8.599761,41.148531],[-8.600391,41.148693],[-8.600391,41.148675],[-8.600445,41.148666],[-8.601561,41.148855],[-8.602155,41.149404],[-8.602227,41.150745],[-8.602218,41.151231],[-8.602362,41.15259],[-8.602299,41.152887]]"
1397559043620000653,B,,13.0,20000653,1397559043,A,False,"[[-8.628165,41.15736],[-8.628147,41.15745],[-8.628066,41.157513],[-8.627499,41.157657],[-8.625483,41.157342],[-8.625132,41.157234],[-8.624925,41.157135],[-8.625195,41.156343],[-8.625123,41.155578],[-8.624043,41.15556],[-8.62335,41.15574],[-8.622288,41.155866],[-8.620605,41.155542],[-8.618733,41.155191],[-8.617023,41.15484],[-8.61471,41.154444],[-8.614224,41.154363],[-8.613963,41.154318],[-8.61327,41.154084],[-8.612415,41.153661],[-8.611614,41.153589],[-8.609427,41.153544],[-8.607249,41.153463],[-8.606709,41.153463],[-8.605773,41.153436],[-8.60562,41.153445]]"
1376683611620000632,B,,34.0,20000632,1376683611,A,False,"[[-8.615493,41.140656],[-8.615439,41.140701],[-8.614665,41.141016],[-8.614467,41.141673],[-8.614107,41.142537],[-8.613423,41.143302],[-8.612379,41.144094],[-8.611587,41.144634],[-8.611119,41.144913],[-8.610822,41.145453],[-8.610597,41.146047],[-8.610426,41.146137],[-8.610075,41.146425],[-8.609022,41.146812],[-8.608824,41.147424],[-8.610003,41.147658],[-8.610237,41.147793],[-8.610237,41.147829],[-8.611065,41.14791]]"
1386282799620000273,A,22925.0,,20000273,1386282799,A,False,"[[-8.611362,41.162157],[-8.609922,41.161329],[-8.609913,41.161311],[-8.608599,41.160951],[-8.604144,41.161545],[-8.601786,41.163678],[-8.601156,41.164308],[-8.600103,41.165073],[-8.599446,41.165343],[-8.599329,41.165406],[-8.598825,41.165649],[-8.598762,41.165694],[-8.597619,41.166144],[-8.595297,41.166882],[-8.592579,41.167845],[-8.589438,41.16969],[-8.587422,41.172606],[-8.585433,41.176683],[-8.583561,41.179527],[-8.582679,41.182506],[-8.58123,41.185827],[-8.580546,41.188149],[-8.580258,41.19057],[-8.580321,41.191659],[-8.580924,41.192973],[-8.580735,41.194395],[-8.580006,41.194719],[-8.579997,41.194755],[-8.579988,41.194755],[-8.579997,41.194755],[-8.579997,41.194746],[-8.580006,41.194746]]"
1388687101620000540,B,,61.0,20000540,1388687101,A,False,"[[-8.599275,41.149152],[-8.598816,41.148783],[-8.598654,41.148513],[-8.598672,41.148477],[-8.598672,41.148432],[-8.59869,41.148423],[-8.59896,41.148387],[-8.600085,41.148522],[-8.600589,41.148522],[-8.600724,41.148315],[-8.601003,41.148],[-8.601138,41.147847],[-8.60121,41.147721],[-8.601327,41.147658],[-8.601363,41.147595],[-8.601471,41.147334],[-8.601714,41.147307],[-8.60175,41.147289],[-8.601741,41.14728],[-8.60175,41.147262],[-8.601741,41.147253],[-8.602155,41.147028],[-8.602956,41.146659],[-8.604198,41.146245],[-8.604882,41.145705],[-8.604783,41.14557],[-8.604558,41.145039],[-8.60454,41.144643],[-8.604585,41.144544],[-8.604747,41.144589],[-8.604801,41.144427],[-8.604819,41.144373],[-8.60481,41.144274],[-8.60481,41.144166],[-8.603865,41.143698],[-8.602146,41.142897],[-8.601669,41.140998],[-8.601246,41.139099],[-8.601246,41.137704],[-8.602254,41.136075],[-8.601849,41.134068],[-8.599248,41.132826],[-8.597133,41.131584],[-8.59707,41.130621],[-8.596071,41.130288],[-8.594901,41.13],[-8.593587,41.129199],[-8.592984,41.128632],[-8.59293,41.12865],[-8.592921,41.128641],[-8.592921,41.128623],[-8.592255,41.127687],[-8.590608,41.127561],[-8.589123,41.127327],[-8.588277,41.126364],[-8.587593,41.125203],[-8.587422,41.124906],[-8.587413,41.124906],[-8.587395,41.124915],[-8.587395,41.124915],[-8.587404,41.124888],[-8.587395,41.124888]]"
1385425272620000517,C,,,20000517,1385425272,A,False,"[[-8.561727,41.13351],[-8.561196,41.133429],[-8.561961,41.133555],[-8.562798,41.133312],[-8.563509,41.133141],[-8.564085,41.133501],[-8.565255,41.133015],[-8.566749,41.132826],[-8.568387,41.132997],[-8.568441,41.131818],[-8.569287,41.132322],[-8.569224,41.133861],[-8.570637,41.135157],[-8.571123,41.137686],[-8.572005,41.140278],[-8.572887,41.142006],[-8.57322,41.143707],[-8.574597,41.144085],[-8.577108,41.144499],[-8.577468,41.144508],[-8.575821,41.143905],[-8.57601,41.143698],[-8.576037,41.143689],[-8.576019,41.143689],[-8.57601,41.143707],[-8.576019,41.143707],[-8.576028,41.143689],[-8.57601,41.143698],[-8.575992,41.143716],[-8.575983,41.143725],[-8.576001,41.143716],[-8.576019,41.143716],[-8.576037,41.143725],[-8.576028,41.143734],[-8.576019,41.143725],[-8.576028,41.143698],[-8.576028,41.143689],[-8.576037,41.143689],[-8.576037,41.14368],[-8.57601,41.143698],[-8.575992,41.143707],[-8.575983,41.143707],[-8.575992,41.143707],[-8.576001,41.143707],[-8.576001,41.143698],[-8.57601,41.143707],[-8.57601,41.143725],[-8.576028,41.143725],[-8.576046,41.143707],[-8.576028,41.143707],[-8.576028,41.143707],[-8.576037,41.143698],[-8.576046,41.143707],[-8.576037,41.143716],[-8.576028,41.143716],[-8.576019,41.143707],[-8.57601,41.143707],[-8.575992,41.143707],[-8.575992,41.143698],[-8.57601,41.143689],[-8.576019,41.143689],[-8.57601,41.143689],[-8.575992,41.143707],[-8.575983,41.143716],[-8.576001,41.143716],[-8.57601,41.143707],[-8.57601,41.143689],[-8.57601,41.143689],[-8.576028,41.14368],[-8.576037,41.14368],[-8.576046,41.14368],[-8.576073,41.143689],[-8.5761,41.143671],[-8.576082,41.143671],[-8.576055,41.143671],[-8.576019,41.143689],[-8.576235,41.143518],[-8.575767,41.143887],[-8.574192,41.143959],[-8.573778,41.144058],[-8.576226,41.144166],[-8.57808,41.144607],[-8.580438,41.143734],[-8.583615,41.143662],[-8.586837,41.143077],[-8.588961,41.141025],[-8.591967,41.140107],[-8.595198,41.139945],[-8.597655,41.141061],[-8.597835,41.141151],[-8.59788,41.14116],[-8.599176,41.141709],[-8.601453,41.142078],[-8.603964,41.141781],[-8.606286,41.141529],[-8.60895,41.140962],[-8.610237,41.141016],[-8.610219,41.141016],[-8.610201,41.141007],[-8.61021,41.141016],[-8.610219,41.141025],[-8.610219,41.141025],[-8.61021,41.141025],[-8.61021,41.141034],[-8.610192,41.141052]]"
